2026-07-28 14:05:17,235 | INFO    | main         | متصل شد به @lfc_test_1_bot | حالت انتشار: manual
2026-07-28 14:05:17,235 | INFO    | main         | ترجمه: Liverpool are working on Bradley Barcola deal
2026-07-28 14:44:13,933 | INFO    | main         | → در گروه قرار گرفت: Liverpool FC Women set to compete in revamped Subway Players Cup - Liv
2026-07-28 14:44:15,934 | INFO    | main         | در این سیکل 5 خبر ارسال شد
2026-07-28 14:44:21,972 | WARNING | src.base     | GET https://rsshub.app/twitter/user/FabrizioRomano -> 404
2026-07-28 14:44:34,652 | WARNING | src.base     | GET https://nitter.privacydev.net/FabrizioRomano/rss failed: HTTPSConnectionPool(host='nitter.privacydev.net', port=443): Max retries exceeded with url: /FabrizioRomano/rss (Caused by SSLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'nitter.privacydev.net'. (_ssl.c:1032)")))
2026-07-28 14:44:43,075 | WARNING | src.base     | GET https://nitter.poast.org/FabrizioRomano/rss -> 403
2026-07-28 14:44:47,738 | ERROR   | src.romano   | هیچ فیدی برای رومانو جواب نداد — ROMANO_FEEDS را بررسی کنید
2026-07-28 14:44:47,741 | INFO    | main         | جمع‌آوری شد: 5 آیتم
2026-07-28 14:44:47,742 | INFO    | main         | در این سیکل 0 خبر ارسال شد
2026-07-28 14:45:21,999 | WARNING | src.base     | GET https://rsshub.app/twitter/user/FabrizioRomano -> 404
2026-07-28 14:45:33,676 | WARNING | src.base     | GET https://nitter.privacydev.net/FabrizioRomano/rss failed: HTTPSConnectionPool(host='nitter.privacydev.net', port=443): Max retries exceeded with url: /FabrizioRomano/rss (Caused by SSLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'nitter.privacydev.net'. (_ssl.c:1032)")))
2026-07-28 14:45:42,206 | WARNING | src.base     | GET https://nitter.poast.org/FabrizioRomano/rss -> 403
2026-07-28 14:45:46,859 | ERROR   | src.romano   | هیچ فیدی برای رومانو جواب نداد — ROMANO_FEEDS را بررسی کنید
2026-07-28 14:45:46,862 | INFO    | main         | جمع‌آوری شد: 5 آیتم
2026-07-28 14:45:46,863 | INFO    | main         | در این سیکل 0 خبر ارسال شد
2026-07-28 14:46:27,516 | INFO    | main         | متصل شد به @lfc_test_1_bot | حالت انتشار: manual
2026-07-28 14:46:34,038 | INFO    | main         | جمع‌آوری شد: 5 آیتم
2026-07-28 14:46:34,039 | INFO    | main         | ترجمه: Live gallery: Cody Gakpo and Virgil van Dijk report for pre-season at 
2026-07-28 14:46:42,575 | INFO    | main         | → در گروه قرار گرفت: Live gallery: Cody Gakpo and Virgil van Dijk report for pre-season at 
2026-07-28 14:46:44,576 | INFO    | main         | ترجمه: Watch all of Leanne Kiernan's goals for Liverpool FC Women - Liverpool
2026-07-28 14:46:52,363 | INFO    | main         | → در گروه قرار گرفت: Watch all of Leanne Kiernan's goals for Liverpool FC Women - Liverpool
2026-07-28 14:46:54,364 | INFO    | main         | ترجمه: Leanne Kiernan completes permanent move to Newcastle United - Liverpoo
2026-07-28 14:47:06,398 | INFO    | main         | → در گروه قرار گرفت: Leanne Kiernan completes permanent move to Newcastle United - Liverpoo
2026-07-28 14:47:08,398 | INFO    | main         | ترجمه: We Love You Liverpool: Meet Official LFC Supporters Club... New York -
2026-07-28 14:47:33,548 | INFO    | main         | → در گروه قرار گرفت: We Love You Liverpool: Meet Official LFC Supporters Club... New York -
2026-07-28 14:47:35,549 | INFO    | main         | ترجمه: Liverpool FC Women set to compete in revamped Subway Players Cup - Liv
2026-07-28 14:47:55,873 | INFO    | main         | → در گروه قرار گرفت: Liverpool FC Women set to compete in revamped Subway Players Cup - Liv
2026-07-28 14:47:57,873 | INFO    | main         | در این سیکل 5 خبر ارسال شد
2026-07-28 14:48:22,460 | INFO    | main         | متصل شد به @lfc_test_1_bot | حالت انتشار: manual
2026-07-28 14:48:26,963 | INFO    | main         | جمع‌آوری شد: 5 آیتم
2026-07-28 14:48:26,976 | INFO    | main         | ترجمه: Live gallery: Cody Gakpo and Virgil van Dijk report for pre-season at 
2026-07-28 14:48:35,780 | INFO    | main         | → در گروه قرار گرفت: Live gallery: Cody Gakpo and Virgil van Dijk report for pre-season at 
2026-07-28 14:48:37,781 | INFO    | main         | ترجمه: Watch all of Leanne Kiernan's goals for Liverpool FC Women - Liverpool
2026-07-28 14:48:49,244 | INFO    | main         | → در گروه قرار گرفت: Watch all of Leanne Kiernan's goals for Liverpool FC Women - Liverpool
2026-07-28 14:48:51,244 | INFO    | main         | ترجمه: Leanne Kiernan completes permanent move to Newcastle United - Liverpoo
2026-07-28 14:49:05,620 | INFO    | main         | → در گروه قرار گرفت: Leanne Kiernan completes permanent move to Newcastle United - Liverpoo
2026-07-28 14:49:07,624 | INFO    | main         | ترجمه: We Love You Liverpool: Meet Official LFC Supporters Club... New York -
2026-07-28 14:49:19,526 | INFO    | main         | → در گروه قرار گرفت: We Love You Liverpool: Meet Official LFC Supporters Club... New York -
2026-07-28 14:49:21,527 | INFO    | main         | ترجمه: Liverpool FC Women set to compete in revamped Subway Players Cup - Liv
2026-07-28 14:49:30,645 | INFO    | main         | → در گروه قرار گرفت: Liverpool FC Women set to compete in revamped Subway Players Cup - Liv
2026-07-28 14:49:32,646 | INFO    | main         | در این سیکل 5 خبر ارسال شد
2026-07-29 00:14:10,011 | INFO    | src.lfc      | رد شد (podcast): Pre-season tour podcast: Interviews, previews and Liverpool 
2026-07-29 00:14:11,030 | INFO    | src.lfc      | رد شد (women): Training photos: Day two of pre-season camp for LFC Women
2026-07-29 00:14:13,701 | INFO    | src.lfc      | رد شد (watch all): Watch all of Leanne Kiernan's goals for Liverpool FC Women
2026-07-29 00:14:15,320 | INFO    | src.twitter  | توییتر: 12 حساب در 1.1s (FabrizioRomano, David_Ornstein, JamesPearceLFC, DavidLynchLFC, _pauljoyce, LFC)
2026-07-29 00:14:15,322 | INFO    | main         | جمع‌آوری شد: 10 آیتم
2026-07-29 00:14:15,344 | INFO    | main         | ترجمه: Bradley Barcola 'reaches verbal agreement' with Liverpool as blockbust
2026-07-29 00:14:20,346 | INFO    | guard        | نگهبان کانال: 17 پست اخیر خوانده شد
2026-07-29 00:14:22,368 | INFO    | main         | ترجمه: LFC Foundation hosts football clinic for families affected by cancer i
2026-07-29 00:14:32,288 | INFO    | main         | ترجمه: Interview with Milos Kerkez. 
Setting the record straight over summer 
2026-07-29 00:14:52,258 | INFO    | main         | ترجمه: Mighty Red making an appearance 
 
 Video
2026-07-29 00:15:00,378 | INFO    | main         | ترجمه: Liverpool assessed a number of wide options after missing out on Yan D
2026-07-29 00:15:08,413 | INFO    | main         | در این سیکل 5 خبر ارسال شد
2026-07-29 00:15:08,413 | INFO    | main         | سیکل تمام شد و ربات بسته شد — دکمه‌ها فقط وقتی کار می‌کنند که ربات روشن باشد: python main.py
2026-07-29 00:20:19,415 | INFO    | src.lfc      | رد شد (podcast): Pre-season tour podcast: Interviews, previews and Liverpool 
2026-07-29 00:20:20,947 | INFO    | src.lfc      | رد شد (women): Training photos: Day two of pre-season camp for LFC Women
2026-07-29 00:20:24,068 | INFO    | src.lfc      | رد شد (watch all): Watch all of Leanne Kiernan's goals for Liverpool FC Women
2026-07-29 00:20:27,800 | INFO    | src.twitter  | توییتر: 29 حساب در 2.6s (FabrizioRomano, David_Ornstein, JamesPearceLFC, DavidLynchLFC, _pauljoyce, LFC)
2026-07-29 00:20:27,801 | INFO    | src.twitter  | رد شد (توییت کوتاه/مدیا): @JamesPearceLFC — Citi Field. Come on the Mets
2026-07-29 00:20:27,801 | INFO    | src.twitter  | رد شد (توییت کوتاه/مدیا): @JamesPearceLFC — Mighty Red making an appearance  Video
2026-07-29 00:20:27,804 | INFO    | main         | جمع‌آوری شد: 10 آیتم
2026-07-29 00:20:27,825 | INFO    | main         | ترجمه: With Mohamed Salah gone and Hugo Ekitike injured, Liverpool need forwa
2026-07-29 00:20:35,743 | INFO    | guard        | نگهبان کانال: 18 پست اخیر خوانده شد
2026-07-29 00:20:37,764 | INFO    | main         | ترجمه: Thought that was a really encouraging start to Andoni Iraola's reign. 
2026-07-29 00:20:43,581 | INFO    | main         | ترجمه: 🔺 EXCLUSIVE

World Cup for sale: Gianni Infantino's plan to sell stake
2026-07-29 00:20:51,616 | INFO    | main         | در این سیکل 3 خبر ارسال شد
2026-07-29 00:20:51,616 | INFO    | main         | سیکل تمام شد و ربات بسته شد — دکمه‌ها فقط وقتی کار می‌کنند که ربات روشن باشد: python main.py
2026-07-29 00:26:00,023 | INFO    | src.lfc      | رد شد (podcast): Pre-season tour podcast: Interviews, previews and Liverpool 
2026-07-29 00:26:01,174 | INFO    | src.lfc      | رد شد (women): Training photos: Day two of pre-season camp for LFC Women
2026-07-29 00:26:02,248 | INFO    | src.lfc      | رد شد (foundation): LFC Foundation hosts football clinic for families affected b
2026-07-29 00:26:03,229 | INFO    | src.lfc      | رد شد (watch all): Watch all of Leanne Kiernan's goals for Liverpool FC Women
2026-07-29 00:26:05,023 | INFO    | src.lfc      | رد شد (supporters club): We Love You Liverpool: Meet Official LFC Supporters Club... 
2026-07-29 00:26:05,577 | INFO    | src.lfc      | رد شد (women): Liverpool FC Women set to compete in revamped Subway Players
2026-07-29 00:26:07,300 | WARNING | src.base     | GET https://nitter.net/Anfieldmedia_/rss -> 429
2026-07-29 00:26:07,404 | WARNING | src.base     | GET https://nitter.net/anfieldsociaI/rss -> 429
2026-07-29 00:26:13,785 | INFO    | src.twitter  | توییتر: 29 حساب در 8.2s (FabrizioRomano, David_Ornstein, JamesPearceLFC, DavidLynchLFC, _pauljoyce, LFC)
2026-07-29 00:26:13,786 | INFO    | src.twitter  | رد شد (توییت کوتاه/مدیا): @JamesPearceLFC — Citi Field. Come on the Mets
2026-07-29 00:26:13,786 | INFO    | src.twitter  | رد شد (توییت کوتاه/مدیا): @JamesPearceLFC — Mighty Red making an appearance  Video
2026-07-29 00:26:13,787 | INFO    | src.twitter  | رد شد (توییت کوتاه/مدیا): @LFC — First day back for Cody and Virgil ✅  Video
2026-07-29 00:26:13,789 | INFO    | main         | جمع‌آوری شد: 9 آیتم
2026-07-29 00:26:13,811 | INFO    | main         | ترجمه: John Oliver will be cheering on the Reds at Yankee Stadium tomorrow 🤩
2026-07-29 00:26:18,795 | INFO    | guard        | نگهبان کانال: 18 پست اخیر خوانده شد
2026-07-29 00:26:20,817 | INFO    | main         | ترجمه: Inside Training: Cody and Virgil are back 🙌

Watch their first day of 
2026-07-29 00:26:25,381 | INFO    | main         | هشدار کانال (100%): بازگشت کودی و ویرجیل به تمرینات پیش‌فصل 🙌
2026-07-29 00:26:27,401 | INFO    | main         | ترجمه: Cody Gakpo and Virgil van Dijk have today reported for pre-season duty
2026-07-29 00:26:30,103 | INFO    | main         | خبر مشترک با Liverpool FC
2026-07-29 00:26:32,121 | INFO    | main         | در این سیکل 3 خبر ارسال شد
2026-07-29 00:26:32,121 | INFO    | main         | سیکل تمام شد و ربات بسته شد — دکمه‌ها فقط وقتی کار می‌کنند که ربات روشن باشد: python main.py
2026-07-29 00:29:42,250 | INFO    | src.lfc      | رد شد (podcast): Pre-season tour podcast: Interviews, previews and Liverpool 
2026-07-29 00:29:43,116 | INFO    | src.lfc      | رد شد (women): Training photos: Day two of pre-season camp for LFC Women
2026-07-29 00:29:44,615 | INFO    | src.lfc      | رد شد (foundation): LFC Foundation hosts football clinic for families affected b
2026-07-29 00:29:45,560 | INFO    | src.lfc      | رد شد (watch all): Watch all of Leanne Kiernan's goals for Liverpool FC Women
2026-07-29 00:29:47,849 | INFO    | src.lfc      | رد شد (supporters club): We Love You Liverpool: Meet Official LFC Supporters Club... 
2026-07-29 00:29:48,356 | INFO    | src.lfc      | رد شد (women): Liverpool FC Women set to compete in revamped Subway Players
2026-07-29 00:29:50,554 | WARNING | src.base     | GET https://nitter.net/anfieldsociaI/rss -> 429
2026-07-29 00:29:57,479 | WARNING | src.base     | GET https://lightbrd.com/anfieldsociaI/rss -> 403
2026-07-29 00:30:06,170 | WARNING | src.base     | GET https://xcancel.com/anfieldsociaI/rss -> 400
2026-07-29 00:30:20,843 | INFO    | src.twitter  | توییتر: 29 حساب در 32.5s (FabrizioRomano, David_Ornstein, JamesPearceLFC, DavidLynchLFC, _pauljoyce, LFC)
2026-07-29 00:30:20,845 | INFO    | src.twitter  | رد شد (توییت کوتاه/مدیا): @JamesPearceLFC — Citi Field. Come on the Mets
2026-07-29 00:30:20,845 | INFO    | src.twitter  | رد شد (توییت کوتاه/مدیا): @JamesPearceLFC — Mighty Red making an appearance  Video
2026-07-29 00:30:20,846 | INFO    | src.twitter  | رد شد (توییت کوتاه/مدیا): @LFC — First day back for Cody and Virgil ✅  Video
2026-07-29 00:30:20,848 | INFO    | main         | جمع‌آوری شد: 9 آیتم
2026-07-29 00:30:20,871 | INFO    | main         | در این سیکل 0 خبر ارسال شد
2026-07-29 00:30:20,872 | INFO    | main         | سیکل تمام شد و ربات بسته شد — دکمه‌ها فقط وقتی کار می‌کنند که ربات روشن باشد: python main.py
2026-07-29 00:30:52,352 | INFO    | main         | متصل شد به @lfc_test_1_bot | حالت انتشار: manual
2026-07-29 00:30:52,352 | INFO    | main         | سرویس فعال شد — چک منابع هر 60 ثانیه
2026-07-29 00:30:53,212 | INFO    | src.lfc      | رد شد (podcast): Pre-season tour podcast: Interviews, previews and Liverpool 
2026-07-29 00:30:53,461 | INFO    | src.lfc      | رد شد (women): Training photos: Day two of pre-season camp for LFC Women
2026-07-29 00:30:53,709 | INFO    | src.lfc      | رد شد (foundation): LFC Foundation hosts football clinic for families affected b
2026-07-29 00:30:53,970 | INFO    | src.lfc      | رد شد (watch all): Watch all of Leanne Kiernan's goals for Liverpool FC Women
2026-07-29 00:30:54,220 | INFO    | src.lfc      | رد شد (supporters club): We Love You Liverpool: Meet Official LFC Supporters Club... 
2026-07-29 00:30:54,343 | INFO    | src.lfc      | رد شد (women): Liverpool FC Women set to compete in revamped Subway Players
2026-07-29 00:30:55,925 | WARNING | src.base     | GET https://nitter.net/anfieldsociaI/rss -> 429
2026-07-29 00:31:02,650 | WARNING | src.base     | GET https://lightbrd.com/anfieldsociaI/rss -> 403
2026-07-29 00:31:09,662 | WARNING | src.base     | GET https://xcancel.com/anfieldsociaI/rss -> 400
2026-07-29 00:31:20,796 | INFO    | src.twitter  | توییتر: 29 حساب در 26.5s (FabrizioRomano, David_Ornstein, JamesPearceLFC, DavidLynchLFC, _pauljoyce, LFC)
2026-07-29 00:31:20,797 | INFO    | src.twitter  | رد شد (توییت کوتاه/مدیا): @JamesPearceLFC — Citi Field. Come on the Mets
2026-07-29 00:31:20,797 | INFO    | src.twitter  | رد شد (توییت کوتاه/مدیا): @JamesPearceLFC — Mighty Red making an appearance  Video
2026-07-29 00:31:20,798 | INFO    | src.twitter  | رد شد (توییت کوتاه/مدیا): @LFC — First day back for Cody and Virgil ✅  Video
2026-07-29 00:31:20,800 | INFO    | main         | جمع‌آوری شد: 9 آیتم
2026-07-29 00:31:20,827 | INFO    | main         | در این سیکل 0 خبر ارسال شد
2026-07-29 00:31:52,613 | INFO    | src.lfc      | رد شد (podcast): Pre-season tour podcast: Interviews, previews and Liverpool 
2026-07-29 00:31:53,258 | INFO    | src.lfc      | رد شد (women): Training photos: Day two of pre-season camp for LFC Women
2026-07-29 00:31:53,512 | INFO    | src.lfc      | رد شد (foundation): LFC Foundation hosts football clinic for families affected b
2026-07-29 00:31:53,890 | INFO    | src.lfc      | رد شد (watch all): Watch all of Leanne Kiernan's goals for Liverpool FC Women
2026-07-29 00:31:54,141 | INFO    | src.lfc      | رد شد (supporters club): We Love You Liverpool: Meet Official LFC Supporters Club... 
2026-07-29 00:31:54,266 | INFO    | src.lfc      | رد شد (women): Liverpool FC Women set to compete in revamped Subway Players
2026-07-29 00:31:55,791 | INFO    | src.twitter  | توییتر: 29 حساب در 1.5s (FabrizioRomano, David_Ornstein, JamesPearceLFC, DavidLynchLFC, _pauljoyce, LFC)
2026-07-29 00:31:55,792 | INFO    | src.twitter  | رد شد (توییت کوتاه/مدیا): @JamesPearceLFC — Citi Field. Come on the Mets
2026-07-29 00:31:55,793 | INFO    | src.twitter  | رد شد (توییت کوتاه/مدیا): @JamesPearceLFC — Mighty Red making an appearance  Video
2026-07-29 00:31:55,793 | INFO    | src.twitter  | رد شد (توییت کوتاه/مدیا): @LFC — First day back for Cody and Virgil ✅  Video
2026-07-29 00:31:55,795 | INFO    | main         | جمع‌آوری شد: 9 آیتم
2026-07-29 00:31:55,796 | INFO    | main         | در این سیکل 0 خبر ارسال شد
2026-07-29 00:32:54,639 | INFO    | src.lfc      | رد شد (podcast): Pre-season tour podcast: Interviews, previews and Liverpool 
2026-07-29 00:32:55,997 | INFO    | src.lfc      | رد شد (women): Training photos: Day two of pre-season camp for LFC Women
2026-07-29 00:32:57,277 | INFO    | src.lfc      | رد شد (foundation): LFC Foundation hosts football clinic for families affected b
2026-07-29 00:32:58,199 | INFO    | src.lfc      | رد شد (watch all): Watch all of Leanne Kiernan's goals for Liverpool FC Women
2026-07-29 00:32:59,870 | INFO    | src.lfc      | رد شد (supporters club): We Love You Liverpool: Meet Official LFC Supporters Club... 
2026-07-29 00:33:00,636 | INFO    | src.lfc      | رد شد (women): Liverpool FC Women set to compete in revamped Subway Players
2026-07-29 00:33:02,486 | INFO    | src.twitter  | توییتر: 29 حساب در 1.8s (FabrizioRomano, David_Ornstein, JamesPearceLFC, DavidLynchLFC, _pauljoyce, LFC)
2026-07-29 00:33:02,488 | INFO    | src.twitter  | رد شد (توییت کوتاه/مدیا): @JamesPearceLFC — Citi Field. Come on the Mets
2026-07-29 00:33:02,488 | INFO    | src.twitter  | رد شد (توییت کوتاه/مدیا): @JamesPearceLFC — Mighty Red making an appearance  Video
2026-07-29 00:33:02,489 | INFO    | src.twitter  | رد شد (توییت کوتاه/مدیا): @LFC — First day back for Cody and Virgil ✅  Video
2026-07-29 00:33:02,490 | INFO    | main         | جمع‌آوری شد: 9 آیتم
2026-07-29 00:33:02,491 | INFO    | main         | در این سیکل 0 خبر ارسال شد
2026-07-29 00:33:18,849 | INFO    | main         | خاموش شد.
2026-07-29 00:34:30,749 | INFO    | src.lfc      | رد شد (podcast): Pre-season tour podcast: Interviews, previews and Liverpool 
2026-07-29 00:34:31,058 | INFO    | src.lfc      | رد شد (women): Training photos: Day two of pre-season camp for LFC Women
2026-07-29 00:34:31,363 | INFO    | src.lfc      | رد شد (foundation): LFC Foundation hosts football clinic for families affected b
2026-07-29 00:34:31,852 | INFO    | src.lfc      | رد شد (watch all): Watch all of Leanne Kiernan's goals for Liverpool FC Women
2026-07-29 00:34:32,456 | INFO    | src.lfc      | رد شد (supporters club): We Love You Liverpool: Meet Official LFC Supporters Club... 
2026-07-29 00:34:32,765 | INFO    | src.lfc      | رد شد (women): Liverpool FC Women set to compete in revamped Subway Players
2026-07-29 00:34:34,110 | INFO    | src.twitter  | توییتر: 29 حساب در 1.3s (FabrizioRomano, David_Ornstein, JamesPearceLFC, DavidLynchLFC, _pauljoyce, LFC)
2026-07-29 00:34:34,111 | INFO    | src.twitter  | رد شد (توییت کوتاه/مدیا): @JamesPearceLFC — Citi Field. Come on the Mets
2026-07-29 00:34:34,112 | INFO    | src.twitter  | رد شد (توییت کوتاه/مدیا): @JamesPearceLFC — Mighty Red making an appearance  Video
2026-07-29 00:34:34,112 | INFO    | src.twitter  | رد شد (توییت کوتاه/مدیا): @LFC — First day back for Cody and Virgil ✅  Video
2026-07-29 00:34:34,114 | INFO    | main         | جمع‌آوری شد: 9 آیتم
2026-07-29 00:34:34,136 | INFO    | main         | در این سیکل 0 خبر ارسال شد
2026-07-29 00:34:34,137 | INFO    | main         | سیکل تمام شد و ربات بسته شد — دکمه‌ها فقط وقتی کار می‌کنند که ربات روشن باشد: python main.py
2026-07-29 00:35:14,592 | INFO    | src.lfc      | رد شد (podcast): Pre-season tour podcast: Interviews, previews and Liverpool 
2026-07-29 00:35:14,998 | INFO    | src.lfc      | رد شد (women): Training photos: Day two of pre-season camp for LFC Women
2026-07-29 00:35:15,278 | INFO    | src.lfc      | رد شد (foundation): LFC Foundation hosts football clinic for families affected b
2026-07-29 00:35:15,578 | INFO    | src.lfc      | رد شد (watch all): Watch all of Leanne Kiernan's goals for Liverpool FC Women
2026-07-29 00:35:15,865 | INFO    | src.lfc      | رد شد (supporters club): We Love You Liverpool: Meet Official LFC Supporters Club... 
2026-07-29 00:35:16,007 | INFO    | src.lfc      | رد شد (women): Liverpool FC Women set to compete in revamped Subway Players
2026-07-29 00:35:17,172 | INFO    | src.twitter  | توییتر: 29 حساب در 1.2s (FabrizioRomano, David_Ornstein, JamesPearceLFC, DavidLynchLFC, _pauljoyce, LFC)
2026-07-29 00:35:17,173 | INFO    | src.twitter  | رد شد (توییت کوتاه/مدیا): @JamesPearceLFC — Citi Field. Come on the Mets
2026-07-29 00:35:17,173 | INFO    | src.twitter  | رد شد (توییت کوتاه/مدیا): @JamesPearceLFC — Mighty Red making an appearance  Video
2026-07-29 00:35:17,174 | INFO    | src.twitter  | رد شد (توییت کوتاه/مدیا): @LFC — First day back for Cody and Virgil ✅  Video
2026-07-29 00:35:17,176 | INFO    | main         | جمع‌آوری شد: 9 آیتم
2026-07-29 00:35:17,176 | INFO    | main         | ترجمه: Inside Training: Pre-season day one for Cody Gakpo and Virgil van Dijk
2026-07-29 00:35:24,551 | INFO    | guard        | نگهبان کانال: 18 پست اخیر خوانده شد
2026-07-29 00:35:26,591 | INFO    | main         | ترجمه: Bradley Barcola 'reaches verbal agreement' with Liverpool as blockbust
2026-07-29 00:35:40,354 | INFO    | main         | هشدار کانال (90%): توافق اولیه لیورپول با بردلی بارکولا
2026-07-29 00:35:42,373 | INFO    | main         | ترجمه: Photos: Cody Gakpo and Virgil van Dijk begin pre-season at AXA Trainin
2026-07-29 00:35:45,196 | INFO    | main         | هشدار کانال (83%): بازگشت خاکپو و فن‌دایک به تمرینات پیش‌فصل در آکسا
2026-07-29 00:35:47,216 | INFO    | main         | ترجمه: Leanne Kiernan completes permanent move to Newcastle United
2026-07-29 00:35:54,713 | INFO    | main         | ترجمه: Interview with Milos Kerkez.
Setting the record straight over summer w
